date,demand
2016-10-18,123265.44
2016-10-19,126362.045
2016-10-20,114867.16
2016-10-21,122975.285
2016-10-22,114184.195
2016-10-23,111289.0
2016-10-24,125270.165
2016-10-25,117138.355
2016-10-26,121605.395
2016-10-27,120142.43
2016-10-28,119820.71
2016-10-29,104191.105
2016-10-30,94325.72
2016-10-31,110661.43
2016-11-01,104976.21
2016-11-02,119904.48
2016-11-03,118677.495
2016-11-04,113666.485
2016-11-05,101810.75
2016-11-06,96934.925
2016-11-07,116230.34
2016-11-08,117794.595
2016-11-09,122131.115
2016-11-10,122634.53
2016-11-11,117953.885
2016-11-12,99907.32
2016-11-13,96805.925
2016-11-14,116817.15
2016-11-15,119905.59
2016-11-16,122146.66
2016-11-17,122464.645
2016-11-18,121441.05
2016-11-19,106868.5
2016-11-20,112098.335
2016-11-21,138681.815
2016-11-22,126617.72
2016-11-23,118119.01
2016-11-24,120308.545
2016-11-25,116011.565
2016-11-26,104700.055
2016-11-27,102718.9
2016-11-28,118666.37
2016-11-29,119169.17
2016-11-30,121067.59
2016-12-01,113024.02
2016-12-02,109318.355
2016-12-03,98899.495
2016-12-04,97300.36
2016-12-05,109670.0
2016-12-06,111228.06
2016-12-07,112738.08
2016-12-08,105445.65
2016-12-09,105664.09
2016-12-10,98622.865
2016-12-11,93673.19
2016-12-12,120390.11
2016-12-13,128831.65
2016-12-14,111423.765
2016-12-15,107072.36
2016-12-16,113698.06
2016-12-17,90227.48
2016-12-18,90911.085
2016-12-19,109260.305
2016-12-20,106451.255
2016-12-21,104389.51
2016-12-22,105513.235
2016-12-23,112247.945
2016-12-24,114843.875
2016-12-25,114468.17
2016-12-26,106284.83
2016-12-27,99701.43
2016-12-28,123693.52
2016-12-29,135571.795
2016-12-30,112141.83
2016-12-31,95728.15
